state,action,reward
"open                      102376.7
high                      102500.0
low                       101549.3
close                     102466.5
volume                  196.510392
EMA50                105023.988397
EMA12                103802.777853
EMA26                 104542.70818
MACD                   -739.930327
MACD_signal            -468.505963
RSI                       17.37121
doji                          True
hammer                       False
bullish_engulfing            False
bearish_engulfing            False
shooting_star                False
morning_star                 False
evening_star                 False
Name: 2025-01-23 04:00:00, dtype: object",HOLD,23778.39999999988
"open                      102466.5
high                      102869.9
low                       102019.7
close                     102664.4
volume                   71.631622
EMA50                104931.455518
EMA12                103627.642798
EMA26                104403.574241
MACD                   -775.931442
MACD_signal            -529.991059
RSI                      21.101732
doji                         False
hammer                       False
bullish_engulfing            False
bearish_engulfing            False
shooting_star                 True
morning_star                  True
evening_star                 False
Name: 2025-01-23 06:00:00, dtype: object",SELL,11968.19999999994
"open                      102664.4
high                      102664.4
low                       101601.0
close                     101654.3
volume                   37.396883
EMA50                104802.939616
EMA12                103324.051599
EMA26                104199.924297
MACD                   -875.872698
MACD_signal            -599.167387
RSI                      16.452952
doji                         False
hammer                       False
bullish_engulfing            False
bearish_engulfing            False
shooting_star                False
morning_star                 False
evening_star                 False
Name: 2025-01-23 08:00:00, dtype: object",SELL,23778.39999999988
"open                      101612.0
high                      102136.0
low                       101285.9
close                     101933.5
volume                   126.90382
EMA50                104690.412572
EMA12                103110.120583
EMA26                104032.041016
MACD                   -921.920432
MACD_signal            -663.717996
RSI                      22.172207
doji                         False
hammer                       False
bullish_engulfing            False
bearish_engulfing            False
shooting_star                False
morning_star                 False
evening_star                 False
Name: 2025-01-23 10:00:00, dtype: object",SELL,23778.39999999988
"open                      101933.5
high                      102633.1
low                       101281.7
close                     102454.7
volume                  113.659474
EMA50                104602.737569
EMA12                103009.286647
EMA26                 103915.20094
MACD                   -905.914293
MACD_signal            -712.157255
RSI                      29.463358
doji                         False
hammer                       False
bullish_engulfing            False
bearish_engulfing            False
shooting_star                False
morning_star                  True
evening_star                 False
Name: 2025-01-23 12:00:00, dtype: object",BUY,23778.39999999988
"open                      102454.7
high                      106000.0
low                       102001.3
close                     105230.2
volume                 1106.195318
EMA50                104627.343939
EMA12                103350.965625
EMA26                104012.608278
MACD                   -661.642653
MACD_signal            -702.054335
RSI                       51.03629
doji                         False
hammer                       False
bullish_engulfing            False
bearish_engulfing            False
shooting_star                False
morning_star                 False
evening_star                 False
Name: 2025-01-23 14:00:00, dtype: object",HOLD,26463.099999999875
"open                      105233.5
high                      106833.2
low                       104290.9
close                     105913.4
volume                  784.562857
EMA50                 104677.77751
EMA12                103745.186298
EMA26                104153.407665
MACD                   -408.221367
MACD_signal            -643.287741
RSI                      61.061968
doji                         False
hammer                       False
bullish_engulfing            False
bearish_engulfing            False
shooting_star                 True
morning_star                 False
evening_star                 False
Name: 2025-01-23 16:00:00, dtype: object",SELL,29830.99999999987
"open                      105913.4
high                      106074.0
low                       103500.0
close                     103843.3
volume                   263.32867
EMA50                104645.052902
EMA12                103760.280714
EMA26                104130.436727
MACD                   -370.156013
MACD_signal            -588.661396
RSI                      48.158234
doji                         False
hammer                       False
bullish_engulfing            False
bearish_engulfing            False
shooting_star                False
morning_star                 False
evening_star                 False
Name: 2025-01-23 18:00:00, dtype: object",SELL,29830.99999999987
"open                      103820.6
high                      106480.0
low                       102338.0
close                     103176.2
volume                 1347.077838
EMA50                104587.450827
EMA12                103670.422142
EMA26                104059.752525
MACD                   -389.330383
MACD_signal            -548.795193
RSI                      44.543888
doji                         False
hammer                       False
bullish_engulfing            False
bearish_engulfing            False
shooting_star                 True
morning_star                 False
evening_star                  True
Name: 2025-01-23 20:00:00, dtype: object",SELL,29830.99999999987
"open                      103176.2
high                      104654.4
low                       103032.3
close                     103920.2
volume                   235.74648
EMA50                104561.284128
EMA12                103708.849505
EMA26                104049.415301
MACD                   -340.565796
MACD_signal            -507.149314
RSI                      46.790597
doji                         False
hammer                       False
bullish_engulfing            False
bearish_engulfing            False
shooting_star                False
morning_star                 False
evening_star                 False
Name: 2025-01-23 22:00:00, dtype: object",BUY,29830.99999999987
"open                      103920.2
high                      104164.6
low                       103096.4
close                     103205.3
volume                  116.072875
EMA50                 104508.10828
EMA12                 103631.38035
EMA26                103986.888241
MACD                   -355.507891
MACD_signal            -476.821029
RSI                      46.170762
doji                         False
hammer                       False
bullish_engulfing            False
bearish_engulfing            False
shooting_star                False
morning_star                 False
evening_star                 False
Name: 2025-01-24 00:00:00, dtype: object",HOLD,29830.99999999987
"open                      103205.0
high                      104225.4
low                       102800.0
close                     103898.2
volume                   94.138795
EMA50                104484.190308
EMA12                103672.429527
EMA26                103980.318742
MACD                   -307.889215
MACD_signal            -443.034666
RSI                      51.065482
doji                         False
hammer                       False
bullish_engulfing            False
bearish_engulfing            False
shooting_star                False
morning_star                 False
evening_star                 False
Name: 2025-01-24 02:00:00, dtype: object",HOLD,29830.99999999987
"open                      103898.2
high                      105191.0
low                       103801.3
close                     105191.0
volume                  198.103099
EMA50                104511.908335
EMA12                103906.055754
EMA26                104069.998835
MACD                   -163.943081
MACD_signal            -387.216349
RSI                      59.341869
doji                         False
hammer                       False
bullish_engulfing            False
bearish_engulfing            False
shooting_star                False
morning_star                  True
evening_star                 False
Name: 2025-01-24 04:00:00, dtype: object",HOLD,29830.99999999987
"open                      105191.0
high                      105234.2
low                       104610.2
close                     104999.9
volume                   96.726489
EMA50                104531.045263
EMA12                104074.339484
EMA26                104138.880403
MACD                    -64.540919
MACD_signal            -322.681263
RSI                      60.994317
doji                         False
hammer                       False
bullish_engulfing            False
bearish_engulfing            False
shooting_star                False
morning_star                 False
evening_star                 False
Name: 2025-01-24 06:00:00, dtype: object",BUY,29830.99999999987
"open                      105000.0
high                      105686.2
low                       104914.3
close                     105150.6
volume                   67.809225
EMA50                104555.341527
EMA12                104239.918025
EMA26                104213.822595
MACD                      26.09543
MACD_signal            -252.925925
RSI                      61.192424
doji                         False
hammer                       False
bullish_engulfing            False
bearish_engulfing            False
shooting_star                 True
morning_star                 False
evening_star                 False
Name: 2025-01-24 08:00:00, dtype: object",BUY,29830.99999999987
"open                      105150.6
high                      105480.4
low                       105065.6
close                     105441.4
volume                   55.072881
EMA50                104590.088919
EMA12                104424.761406
EMA26                104304.754255
MACD                    120.007151
MACD_signal             -178.33931
RSI                      61.490781
doji                         False
hammer                       False
bullish_engulfing            False
bearish_engulfing            False
shooting_star                False
morning_star                  True
evening_star                 False
Name: 2025-01-24 10:00:00, dtype: object",HOLD,6210.599999999991
"open                      105441.4
high                      105750.0
low                       105000.0
close                     105128.7
volume                  110.191771
EMA50                104611.210922
EMA12                104533.059651
EMA26                104365.787273
MACD                    167.272378
MACD_signal            -109.216972
RSI                      65.257066
doji                         False
hammer                       False
bullish_engulfing            False
bearish_engulfing            False
shooting_star                False
morning_star                 False
evening_star                 False
Name: 2025-01-24 12:00:00, dtype: object",SELL,18020.79999999993
"open                      105119.9
high                      106223.3
low                       104679.6
close                     105888.1
volume                  204.901803
EMA50                104661.285003
EMA12                104741.527397
EMA26                104478.551179
MACD                    262.976218
MACD_signal             -34.778334
RSI                      66.663015
doji                         False
hammer                       False
bullish_engulfing             True
bearish_engulfing            False
shooting_star                False
morning_star                 False
evening_star                 False
Name: 2025-01-24 14:00:00, dtype: object",BUY,29830.99999999987
"open                      105888.1
high                      106700.0
low                       105600.0
close                     106451.4
volume                  334.109561
EMA50                104731.485591
EMA12                105004.584721
EMA26                104624.688129
MACD                    379.896592
MACD_signal              48.156651
RSI                      66.780871
doji                         False
hammer                       False
bullish_engulfing            False
bearish_engulfing            False
shooting_star                False
morning_star                  True
evening_star                 False
Name: 2025-01-24 16:00:00, dtype: object",SELL,30368.99999999987
"open                      106451.5
high                      107080.6
low                       105725.5
close                     105798.0
volume                  232.380468
EMA50                104773.309686
EMA12                 105126.64861
EMA26                104711.600119
MACD                    415.048491
MACD_signal             121.535019
RSI                      52.900965
doji                         False
hammer                       False
bullish_engulfing            False
bearish_engulfing             True
shooting_star                False
morning_star                 False
evening_star                 False
Name: 2025-01-24 18:00:00, dtype: object",SELL,30253.599999999875
"open                      105798.0
high                      105798.0
low                       104672.7
close                     105084.3
volume                  204.581304
EMA50                104785.505384
EMA12                105120.133439
EMA26                104739.207518
MACD                    380.925921
MACD_signal               173.4132
RSI                       45.77718
doji                         False
hammer                       False
bullish_engulfing            False
bearish_engulfing            False
shooting_star                False
morning_star                 False
evening_star                  True
Name: 2025-01-24 20:00:00, dtype: object",SELL,30253.599999999875
"open                      105084.4
high                      105410.7
low                       104469.7
close                     104840.4
volume                   81.634266
EMA50                104787.658114
EMA12                105077.097525
EMA26                104746.703257
MACD                    330.394268
MACD_signal             204.809413
RSI                      56.239128
doji                         False
hammer                       False
bullish_engulfing            False
bearish_engulfing            False
shooting_star                 True
morning_star                 False
evening_star                 False
Name: 2025-01-24 22:00:00, dtype: object",SELL,30253.599999999875
"open                      104840.4
high                      104840.4
low                       104400.0
close                     104715.0
volume                   59.095349
EMA50                104784.808777
EMA12                105021.390214
EMA26                104744.354868
MACD                    277.035346
MACD_signal               219.2546
RSI                      60.328903
doji                         False
hammer                       False
bullish_engulfing            False
bearish_engulfing            False
shooting_star                 True
morning_star                 False
evening_star                 False
Name: 2025-01-25 00:00:00, dtype: object",SELL,30253.599999999875
"open                      104714.5
high                      105194.1
low                       104429.9
close                     105171.1
volume                   47.894729
EMA50                104799.957452
EMA12                105044.422489
EMA26                104775.965618
MACD                     268.45687
MACD_signal             229.095054
RSI                      58.733993
doji                         False
hammer                       False
bullish_engulfing             True
bearish_engulfing            False
shooting_star                False
morning_star                 False
evening_star                 False
Name: 2025-01-25 02:00:00, dtype: object",BUY,30995.899999999863
"open                      105171.2
high                      105171.3
low                       104250.0
close                     104334.5
volume                   70.093761
EMA50                104781.704219
EMA12                104935.203644
EMA26                104743.264461
MACD                    191.939183
MACD_signal              221.66388
RSI                      57.752513
doji                         False
hammer                       False
bullish_engulfing            False
bearish_engulfing             True
shooting_star                False
morning_star                 False
evening_star                 False
Name: 2025-01-25 04:00:00, dtype: object",SELL,30995.899999999863
"open                      104334.5
high                      104495.0
low                       104250.0
close                     104363.0
volume                   59.015719
EMA50                104765.284445
EMA12                104847.172314
EMA26                104715.096723
MACD                    132.075591
MACD_signal             203.746222
RSI                      53.511423
doji                         False
hammer                       False
bullish_engulfing            False
bearish_engulfing            False
shooting_star                 True
morning_star                 False
evening_star                 False
Name: 2025-01-25 06:00:00, dtype: object",HOLD,30995.899999999863
